Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
Nanutarra Road House,-22.54312510773856,115.5011769289556,Western Australia,Public,As agreed with management
Maclean Supercharger,-29.427083,153.239167,New South Wales,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Mount Larcom QESH,-23.810718434831855,150.98006963498256,QueensLand,Public,$0.30 per kWh
The Place @ Warrawong Plaza,-34.486377904198555,150.88795170004096,New South Wales,Public,Free
City of Kalgoorlie-Boulder Administration Building,-30.7629727825542,121.4561855701744,Western Australia,Public,Free
Abbey Farm Road,-33.7168011,115.0462745,Western Australia,Public - Membership Required,Cost information not available
Armidale Visitors Centre,-30.511645241125954,151.66954542599308,New South Wales,Public,Currently free but will be fee at some point.
Hyden Travel Stop,-32.44812974278317,118.86719516419817,Western Australia,Privately Owned - Notice Required,$0.40
Bremer Bay Resort ,-34.39798497010463,119.38183267909346,Western Australia,"Private - For Staff, Visitors or Customers",Free for customers 
Albany City Visitors Center ,-35.02317787640003,117.8822800393666,Western Australia,Public,Free
Ravensthorpe Caravan Park,-33.578686168911844,120.05342847525014,Western Australia,Public - Pay At Location,"$1.00 per kWh, $10 minimum"
Munglinup Road House ,-33.70473909585485,120.86050338886241,Western Australia,Public,$.50 per kWh
Esperance Horizon Power,-33.84413484580914,121.88301724075569,Western Australia,Public,Free
Ampol Woolworths MetroGo Seven Hills,-33.767099,150.954883,New South Wales,Public - Membership Required,$0.60 per kWh
Multi-storey Car Park,-41.177518,146.359337,Tasmania,Public,25c/kWh + 25c/min
Ross's Discount Home Center,-31.899460299819353,115.97636233048627,Western Australia,Public,$0.40 per kWh
Belair Gardens Caravan Park,-28.779676952665696,114.5831110346918,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Three Springs Community Hall,-29.53657432320555,115.76446092461606,Western Australia,Public,Cost information not available
Moora Shire,-30.63817666322631,116.00532228746147,Western Australia,Public,Free
Horrocks Community Center ,-28.379669676588207,114.42956999049034,Western Australia,Public,Cost information not available
RSL Northampton ,-28.347688225868524,114.63099451578319,Western Australia,Public,Cost information not available
Kojonup Fast Charger,-33.837992744500305,117.16047275133701,Western Australia,Public - Membership Required,$0.55 per kwh
Currie Crescent,-35.31521412066143,149.1392363890359,Australian Capital Territory,Public,Cost information not available
Evie Caltex Jones Street,-36.907455381858675,145.23986428379703,Victoria,Public - Membership Required,Cost information not available
Exmouth Cape Holiday Park,-21.937460298545503,114.130948765536,Western Australia,Public,Cost information not available
Outback Oasis Caravan Park,-24.865225066778365,113.68159048535733,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Billabong Homestead Hotel Motel,-26.81708566363524,114.61415587631006,Western Australia,Public,Cost information not available
Kalbarri National Park Visitors Center,-27.708897837519494,114.16633237124256,Western Australia,Public,Cost information not available
Orion Springfield Shopping Centre,-27.676924346409358,152.90360010448887,QueensLand,Public,free
York Street West Car Park,-41.439888,147.137645,Tasmania,Public,Free
"North Terrace, Burnie",-41.050004,145.907665,Tasmania,Public,25c/kWh + 25c/min
Treendale Mall,-33.28328973601312,115.74169488487303,Western Australia,Public - Membership Required,$0.40 per kWh
Abbott Road,-33.81195253512282,151.03587917803534,New South Wales,(Unknown),Cost information not available
Lorne Visitor Information Centre,-38.536539810459324,143.97423678265363,Victoria,Public,Free
Caltex Jurien Bay,-30.302689512586518,115.04189255136049,Western Australia,Public - Pay At Location,$50.00 flat fee
The Gerald Apartment Hotel,-28.7745077,114.6095279,Western Australia,Public,Free
Chargefox Moe,-38.184449,146.237563,Victoria,Public - Membership Required,40c/kWh
Lakes Entrance RSL,-37.880698,147.981029,Victoria,Public - Pay At Location,30c/kWh
The Cape Display Centre,-38.66802433496106,145.60558849121276,Victoria,Public,$0.40/kWh
Ikea Canberra,-35.29550797984516,149.18685336825467,Australian Capital Territory,"Private - For Staff, Visitors or Customers",Cost information not available
Lake Grace Fast Charge ,-33.100724201932884,118.46234238122247,Western Australia,Public - Membership Required,$0.40 / Kwh
Electric Highway Tasmania - Geeveston,-43.1634,146.92688,Tasmania,Public - Membership Required,25c/kWh + 15c-25c/min
Dunn Place Car Park,-42.881339,147.332385,Tasmania,Public,Usual parking fees apply
Electric Highway Tasmania - Queenstown,-42.0787288537201,145.55549748240549,Tasmania,Public,25c/kWh + 25c/min
Queen Street,-37.2834114334196,142.933869623691,Victoria,Public,Cost information not available
Evie Networks - Campbell Town,-41.929229,147.494481,Tasmania,Public - Membership Required,60c/kWh
TUU Car Park,-42.902797,147.324839,Tasmania,Public,Free
Derwent Bridge Rest Area,-42.135775,146.229257,Tasmania,Public,25c/kWh + 25c/min
Nabiac [NRMA],-32.099110590575656,152.38136618875956,New South Wales,Public,"Free currently, join NRMA as a thank you."
Way Street,-27.38235199860268,153.03290081653495,QueensLand,Public,0
Berry NRMA,-34.77545880729145,150.7008397292857,New South Wales,Public,Currently free but will be fee at some point for non NRMA Members
Mittagong NRMA,-34.45002862260948,150.44244730477044,New South Wales,Public,Currently free but will be fee at some point for non NRMA Members.
Picton [NRMA],-34.16820562741403,150.61093049806357,New South Wales,Public,Currently free but will be fee at some point
Great North Trading Post,-32.990224952340206,151.1307728426591,New South Wales,"Private - For Staff, Visitors or Customers",Free
Wharf Road Carpark (Chargefox),-32.9258511308391,151.7789208904985,New South Wales,Public - Membership Required,Currently free thanks to City of Newcastle
Cradle Mountain Hotel,-41.573658229581895,145.93531430528242,Tasmania,Public,Cost information not available
Alicetronics Jaycar Stockist,-23.697528894585588,133.87873433180766,NT,"Private - For Staff, Visitors or Customers",Free 
Clarence City Council car park,-42.864154,147.36897,Tasmania,Public,$0.32 per kWh
Cottesloe Beach Chalets,-31.99480469222531,115.75302677350828,,"Private - For Staff, Visitors or Customers",Cost information not available
Katanning Shire Visitors Center,-33.69137986156912,117.55573870330295,Western Australia,Public - Membership Required,45c/kWh
YellowGum Bed and Breakfast,-33.68594917013392,117.55878912722824,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Bell Park car park,-27.179802780477594,151.2689719635373,QueensLand,Public,0.30/kWh
Chargefox Airport West,-37.71364567547256,144.88569078594128,Victoria,Public - Membership Required,"$0.65 per kwH, discount for RACV members"
Sheffield Visitor Information Centre,-41.38281497841444,146.32488863214598,Tasmania,Public,Free
Scottsdale Art Gallery Cafe,-41.16207910064335,147.51460793852254,Tasmania,Public - Membership Required,"$0.50 per kWh 7am-10am/4pm-9pm Monday - Friday, $0.40 other times"
Mood Food New Norfolk,-42.779254,147.06114,Tasmania,Public - Membership Required,Cost information not available
Wellington Road,-27.48968765181067,153.03922109290193,QueensLand,Public,Free
Bunnings Newstead Carpark,-27.44310701845047,153.0430958229631,QueensLand,Public,Free
Batemans Bay Visitor Centre [NRMA],-35.70850475831435,150.175530096314,New South Wales,Public,Cost information not available
Woodlands Wines,-33.78702282277545,115.0311330653251,,"Private - For Staff, Visitors or Customers",Cost information not available
QUT Kelvin Grove Stadium Carpark,-27.44955360175527,153.0170891644923,QueensLand,Public,"Free charging but parking starts at $5/hr, with up to 20 minutes free."
QUT Kelvin Grove H Block,-27.4532038075587,153.01703431115823,QueensLand,Public,Free
Evie Networks Coochin Creek,-26.918077062069386,152.99684374211074,QueensLand,Public - Membership Required,60c/kWh
Secure Park King St,-27.45265445273077,153.03259115103697,QueensLand,Public,Free
Secure Park Southpoint,-27.48099182955807,153.0228264563243,QueensLand,"Private - For Staff, Visitors or Customers",Free
QUT Gardens Point,-27.476902453035308,153.0269055356573,QueensLand,Public,Cost information not available
Secure Park Vulture St,-27.482560362924623,153.02377995082816,QueensLand,"Private - For Staff, Visitors or Customers",Free
Audi Centre,-31.91527,115.819405,Western Australia,Public - Membership Required,$0.40 per kWh
Canterbury Bankstown Council,-33.90764109899798,151.1039129846189,New South Wales,Public,Free
Charles Street Parking/Charging,-33.91148886722056,151.11746314177572,New South Wales,Public,Free
"Georges River Council, Carlton Depot",-33.96493620946319,151,New South Wales,Private - Restricted Access,Free
Pinnacles Edge Resort,-30.50042161510722,115.06929335774998,,"Private - For Staff, Visitors or Customers",Cost information not available
Home Timber and Hardware,-33.8344831718447,117.15986299339417,,Public,Cost information not available
Swan Settlers Market,-31.835335801510958,116.02163921400734,,Public,Cost information not available
Mondo Nougat,-31.83701675378689,116.01669764592862,,Public,Cost information not available
Kewdale Tavern,-31.982563566447936,115.9578823206225,Western Australia,Public,$0.39
Tianqi Lithium,-32.215538271732825,115.77737736526483,,"Private - For Staff, Visitors or Customers",Cost information not available
Gemtek - Crest Apartments,-31.961098485121425,115.90120243027431,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Gemtek - Botanical Apartments,-31.94460074534195,115.8186954975713,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Central Wheatbelt Visitor Centre,-31.48210033235818,118.2787933598956,Western Australia,Public - Pay At Location,$11 per hour
Jubilee Oval and Showgrounds ,-31.65111734318809,116.67845947514633,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
DFO Perth,-31.939845427827045,115.94895311025994,Western Australia,Public - Membership Required,"Charging free, parking free for first hour and then $3 per hour"
"Central Car Park,  Collie ",-33.358825170466076,116.15287413831442,Western Australia,Public - Membership Required,$0.40 per kWh 
Footprints Resort,-32.881536,115.656798,,"Private - For Staff, Visitors or Customers",Cost information not available
Wangaree Park Lancelin,-31.020574101465478,115.33270273431788,Western Australia,Public - Membership Required,Cost information not available
Osborne Park Hyundai,-31.905269149199228,115.80909029387806,,"Private - For Staff, Visitors or Customers",Cost information not available
Osborne Park Nissan,-31.90571781716487,115.81021062109228,,"Private - For Staff, Visitors or Customers",Cost information not available
Morley City Nissan,-31.902143395175678,115.90491020836465,,"Private - For Staff, Visitors or Customers",Cost information not available
Morley City Hyundai,-31.90212051387122,115.90401325385636,,"Private - For Staff, Visitors or Customers",Cost information not available
CPP - PCEC,-31.95537674384358,115.84790300821453,,Public - Membership Required,Cost information not available
Bassendean Child Health Centre,-31.903624353028743,115.95016778457533,,Public,Cost information not available
CPP Perth Concert Hall,-31.95857146833736,115.86358227192068,Western Australia,Public,Cost information not available
"Woolworths,  Mt Pleasant ",-32.016031144615816,115.8432043135993,Western Australia,Public - Membership Required,Free
Sabina Appartments ,-32.011964644149295,115.85021724873448,,Public - Membership Required,nextcharge / chargestar website
Garden City Shopping Centre,-32.034642790058726,115.83481653094255,Western Australia,Public,Cost information not available
CPP Regal Place,-31.95299016062215,115.87730279047679,Western Australia,Public,Normal parking rate
CPP Mayfair St,-31.9474687574798,115.84121108698467,,Public,Cost information not available
Tang Computers,-31.90654180015615,115.82812853168308,,Public,Cost information not available
Rowland St Car Park - REV subiaco ,-31.949523738615166,115.82315269868431,,Public - Membership Required,Cost information not available
Midland City Nissan,-31.891951355458772,116.01811740022458,,"Private - For Staff, Visitors or Customers",Cost information not available
Swan City DC Charger,-31.886353399634253,116.00339496519044,Western Australia,Public - Membership Required,chargestar/nextcharge
Edgecombe Brothers,-31.795210554294098,115.99853463481739,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Ellenbrook Central,-31.783066643431578,115.97051468688619,,Public,Cost information not available
CD Dodd,-31.97294082811414,115.98907588052926,Western Australia,Public - Membership Required,$0.40 / kWh + $0.33
Clarkson Nissan ,-31.68809762511073,115.7161756692653,,"Private - For Staff, Visitors or Customers",Cost information not available
Cowra Regional Art Gallery,-33.834079627444765,148.6943533458998,New South Wales,Public,Cost information not available
Lakeside Cinema,-31.742737409688292,115.76718203734212,,Public,Cost information not available
McDonalds Forrestdale,-32.144116800000226,115.97396209999556,,Public - Membership Required,chargestar
Kent Street,-32.27613083950689,115.73170060698915,Western Australia,Public,Cost information not available
Sundance Apartments,-31.89732867830553,115.7595320223254,,Public,Cost information not available
Magic Renault ,-32.04627041090647,115.80933760680762,,"Private - For Staff, Visitors or Customers",Cost information not available
Lakeside Joondalup - Myer Carpark,-31.74549358265488,115.76561953721364,,Public,Cost information not available
Reid Promenade Car Park,-31.7424275967972,115.77324685429267,,Public - Membership Required,"free charge, pay park"
Claremont Oval,-31.977032818415754,115.78304237287674,,Private - Restricted Access,free
Evermore Apartments ,-32.05759769024401,115.77214028673814,Western Australia,Public - Membership Required,see chargestar website 
House of Anvers,-41.218329,146.412456,Tasmania,Public,Cost information not available
Meander Valley Council,-41.527973,146.830558,Tasmania,Public,Cost information not available
Gympie Supercharger [Tesla],-26.188745,152.661613,QueensLand,Public - Membership Required,$0.52/kWh
Merredin Regional Community and Leisure Center ,-31.475517326357796,118.27975016592279,Western Australia,Public - Membership Required,See EO app
Camberwell Supercharger,-37.828482,145.056346,Victoria,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Scarborough Beach,-31.89710003597446,115.75659494675551,Western Australia,Public,Free
Caltex North Dandalup Roadhouse,-32.522297898787784,115.9702834262232,Western Australia,Public,"$0.35 per kWh, $5 minimum charge"
Lithgow Workmen's Club,-33.477936640057756,150.1611263067623,New South Wales,Public,60c / 54c for members of NRMA
Mudgee Information Centre,-32.59016784631479,149.58522431603365,New South Wales,Public - Membership Required,Cost information not available
Moonee Ponds,-37.765834,144.923586,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Macquarie Supercharger,-33.777782,151.12275,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Supa Centa Moore Park,-33.902079196334896,151.215231409333,New South Wales,Public,Free
Toowoomba Supercharger,-27.578133,151.947179,QueensLand,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Chargefox Keith,-36.105205,140.3619871,South Australia,Public - Pay At Location,Cost information not available
Northern Festival Centre,-33.179316696241735,138.00736879304156,South Australia,Public,Cost information not available
Boddington Shire,-32.801926832445744,116.47539431242421,Western Australia,Public,"$0.45 per kWh, may vary. See chargehub app."
Chargefox Kings Meadows,-41.468256846135944,147.158722496525,Tasmania,Public - Pay At Location,AUD 0.65 per kWh
McDonald's Drive-Thru Armadale,-32.15002076557034,116.01893455966706,Western Australia,Public - Membership Required,$0.20 per kWh
Wallsend [NRMA],-32.90294720367186,151.66968441053905,New South Wales,Public,Currently free but will be fee at some point.
RAC electric highway - Bridgetown,-33.959312716778186,116.13826934719259,,Public - Membership Required,$0.45/kWh
Cockburn City,-32.10025888377409,115.78420217798998,Western Australia,Public - Membership Required,Free
Brookton Roadhouse,-32.36587280589187,117.00898342794426,Western Australia,Public,$0.45 / kWh
Williams Woolshed,-33.0251679447563,116.878630733403,Western Australia,Public - Notice Required,$0.50 / kWh for non Woolshed customers
Gundagai [Chargefox],-35.002333201992585,148.11040894247571,New South Wales,Public - Pay At Location,$0.40/kWh [$0.32/kWh NRMA]
Bayshore Drive,-28.631451697887982,153.5823891501135,New South Wales,Public,Free
Horizon Power Bentley Head Office,-31.995196035136118,115.89250825694853,Western Australia,Public - Membership Required,Free
Wanneroo Civic Centre,-31.748960847062506,115.80648266974981,Western Australia,Public,Free
EV Works,-31.804428385948206,115.837026652119,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Wild West Hyundai,-31.795188,115.815028,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Primewest Gwelup,-31.87637320132322,115.79758574847699,Western Australia,Public - Membership Required,$0.45 per kWh
Goomalling Railway Station,-31.297932355982823,116.82735840901171,Western Australia,Public,Cost information not available
Toodyay Shire,-31.55077625511821,116.46758905677257,Western Australia,Public - Membership Required,See EO app
Leederville Memorial Gardens,-31.94026371815405,115.83768103158661,Western Australia,Public - Membership Required,See EO app
Floreat Beach,-31.929295412938984,115.75608933968465,Western Australia,Public - Membership Required,$0.28 per kWh
Stokes and Renk,-31.9471073397873,115.82908593542061,Western Australia,"Private - For Staff, Visitors or Customers",Free
Ridge Street Parking,-30.642316,153.003713,New South Wales,Public,Free
River Street Car Park,-30.705982487531593,152.9193924982759,New South Wales,Public,Free
McCarthy Prestige,-31.979331,115.78509,Western Australia,Public,Free
Woolworths Prestons,-33.9521597232138,150.855589807906,New South Wales,Public,Free
Bendigo,-36.774539,144.306478,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
McDonald's,-31.9008869,116.163497,Western Australia,Public,Cost information not available
Alkimos Shopping Center ,-31.620443448912305,115.68685197927107,Western Australia,Public,$0.27 per kWh
Mood Food Kempton,-42.5132541040641,147.189112740537,Tasmania,Public - Membership Required,Cost information not available
Great Western Tiers Visitor Centre,-41.5235226403948,146.651256368762,Tasmania,Public,Cost information not available
Huonville Council Car Park,-43.0295087004578,147.048364455859,Tasmania,Public,Cost information not available
Stockland,-34.5636660185915,150.838163461777,New South Wales,Public,Free
Stockland Shellharbour Shopping Centre ( Shellharbour Square) - West,-34.563672909556324,150.83831953671825,New South Wales,Public,Free
Wollongong Central - P1 Basement Car Park,-34.4233979669063,150.892280394333,New South Wales,Public,Free
Innovation Campus - University of Wollongong,-34.40010718082921,150.8996891900606,New South Wales,Public,Free
Figtree Grove Shopping Centre ,-34.43743163189117,150.86340370780567,New South Wales,Public,Free
Jax EV @ Warrawong Plaza,-34.4868830425302,150.890772967401,New South Wales,Public,Free
Forest Hill Chase Shopping Centre,-37.835025723717706,145.1632775004582,Victoria,Public,Free
Tastebuds Tesla Charger,-33.6893362215631,151.224097191251,New South Wales,"Private - For Staff, Visitors or Customers",Cost information not available
Hollydene Supercharger [Tesla],-32.447359,150.83232,New South Wales,Public - Membership Required,$0.52/kWh
Ovens Supercharger,-36.587007,146.759301,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Frosty Mango,-18.9477734155894,146.27998683444,QueensLand,"Private - For Staff, Visitors or Customers",Free
Gillies Street North,-37.535211492512,143.823742199547,Victoria,Public,Free
Berry Supercharger,-34.808254,150.636711,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Central Coast Supercharger [Tesla],-33.309014,151.421114,,Public - Membership Required,$0.52/kWh
PCYC Car Park,-33.75028109544636,151.28666346345153,New South Wales,Public - Membership Required,Free
Greensborough Plaza,-37.7021622916574,145.102334661124,Victoria,Public,Free
Mount Field Visitor Centre,-42.681838541884,146.716543290624,Tasmania,Public,Free (usual parking charges apply)
Chargefox - Barnawartha North,-36.0741629913788,146.72714760942472,Victoria,Public,AUD 0.65/kWh
Chargefox - Euroa,-36.7430554636255,145.59112372251286,Victoria,Public,Cost information not available
Paterson St East Car Park,-41.4359929336476,147.139492094509,Tasmania,Public,AUD 0.50 per kWh
Narrandera Marie Bashir Park [NRMA],-34.7465700926125,146.550239228691,New South Wales,Public,Free
Macquarie Point Car Park,-42.880712589104,147.337127709596,Tasmania,Public,Free (usual parking charges apply)
Hobart Central Car Park,-42.8812069603813,147.324060134641,Tasmania,Public,Free
Bathurst Supercharger,-33.41910934956461,149.58664011817848,,Public - Membership Required,AUD 0.66/kWh;other tariffs for older cars
Dubbo Supercharger [Tesla],-32.24995,148.609182,,Public - Membership Required,$0.52/kWh
North Shore Hamilton Station [QLD Electric Superhighway],-27.4443374840838,153.083977603349,QueensLand,Public,0
Albany Highway,-32.01768180025333,115.93733402246494,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Sea Gypsy Boutique Cafe,-24.7635262364691,152.406376500262,QueensLand,Public - Membership Required,Free
Murray Bridge Visitor Information Centre,-35.1203280440309,139.276326843254,South Australia,Public,Free
Maroochydore Supercharger,-26.654159,153.087171,QueensLand,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Canberra Supercharger,-35.294304,149.190322,Australian Capital Territory,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Gold Coast Supercharger,-28.035361,153.427306,QueensLand,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Tamworth Supercharger,-31.1016479615861,150.9173432295,New South Wales,Public,AUD 0.42/kWh;other tariffs for older cars
Narooma Supercharger,-36.223136,150.128346,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
"Jerningham Street, North Adelaide",-34.9074752234107,138.605518610603,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
"Topham UPark, Adelaide",-34.9255831251237,138.597405975263,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
"Light Square, Adelaide",-34.9255343,138.5946563,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
"Wyatt UPark, Adelaide",-34.9250025518746,138.604250972669,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times
"Hindmarsh Square, Adelaide",-34.9244219745177,138.604937618177,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
"Rundle UPark, Adelaide",-34.9229265290754,138.605967586439,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
Adelaide Central Market,-34.9298933132088,138.597212856214,South Australia,Public - Membership Required,Free first hour then $0.20/kWh from 6am to 6pm Monday to Friday and then $0.10/kWh at all other times (Minimum fee of $1 applies after first hour)
Kimberley Entrance Caravan Park,-17.3073017,123.6264617,Western Australia,Public - Pay At Location,Cost information not available
Fitzroy Crossing BP Roadhouse,-18.196713,125.5629255,Western Australia,Public - Pay At Location,Cost information not available
Kununurra Agricultural Show Grounds,-15.771180096780398,128.73165995397676,Western Australia,Public - Pay At Location,Cost information not available
Warmun Roadhouse,-17.017009491078326,128.21695086556724,Western Australia,Public - Pay At Location,$0.44/kWh
Charles Darwin University - Car Park Orange C,-12.374576,130.869764,NT,Public,Free
Miriam Vale QESH,-24.327315454004623,151.56053269510653,QueensLand,Public - Membership Required,$0.30
Childers QESH,-25.235051698123705,152.27907294299166,QueensLand,Public - Membership Required,$0.30 per kWh
Maryborough QESH,-25.5395639,152.6987293,QueensLand,Public - Membership Required,AUD $0.30 / kWh
Cooroy Station,-26.4178079482267,152.911369371053,QueensLand,Public,AUD $00.45 / kWh
Broadway Supercharger,-33.882995,151.194332,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Adelaide Airport Terminal Car Park,-34.9377511939248,138.536149263382,South Australia,"Private - For Staff, Visitors or Customers",Free
Tea Tree Plaza Transport Interchange Car Park,-34.8311586377413,138.695129156113,South Australia,Public - Membership Required,Parking is $10/day. Fees for EV Charging are $2.80/hr with max $11.20.
Organic Market and Cafe,-35.0055123951571,138.716045022011,South Australia,Public - Membership Required,Free
Unley Nissan,-34.9561487480727,138.60754430294,South Australia,Public - Membership Required,Free
Summit Community Centre,-34.9237435964961,138.72494995594,South Australia,Public,Free
UPark on Grote Street,-34.9282342045162,138.596016168594,South Australia,Public,Free
Fleurieu Automotive,-35.5579131000237,138.600490093231,South Australia,Public,Free
Gawler Council Administration Centre,-34.597536084816,138.750350475311,South Australia,Public,Free
Parndana Kangaroo Island,-35.7913961145384,137.263805866241,South Australia,Public,See Chargepoint website for fees.
Kingscote Kangaroo Island,-35.655587624348,137.638199329376,South Australia,Public,See Chargepoint website
Penneshaw Kangaroo Island,-35.7182945532347,137.938553094864,South Australia,Public,See website or phone for fees
Burnside Shopping Centre,-34.9423509694796,138.641946315765,South Australia,Public,Free
Office Building car park,-34.9782827782779,138.573560714722,South Australia,Public,Free
Gawler Visitor Information Centre,-34.5964807070339,138.749830126762,South Australia,Public,Free
Adelaide Hills Business Centre,-34.9494963805521,138.87688100338,South Australia,Public,Free
Barker Reserve,-35.5576774380052,138.612383008003,South Australia,Public,Free
Strathalbyn Visitor Information Centre,-35.2611352649743,138.891831636429,South Australia,Public,Free
Normanville Town Centre,-35.44700132829,138.318842053413,South Australia,Public,Free
Goolwa Visitor Centre,-35.502923987621,138.784103393555,South Australia,Public,Free
Town Centre,-35.5538980228341,138.621958494186,South Australia,Public,Free
Summit Health Centre,-35.0812612,138.8692225,South Australia,Public,Free
City of Adelaide EV Hub,-34.9275656868653,138.5951846838,South Australia,Public,
Coffs Harbour Supercharger [Tesla],-30.281439,153.131666,,Public - Membership Required,$0.52/kWh
Stockland Riverton Center,-32.0396593286931,115.904397939737,Western Australia,Public,Free
Euroa Supercharger,-36.752887,145.573418,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Eaton Supercharger,-33.319629016842256,115.71772716499686,Western Australia,Public - Membership Required,AUD 0.68/kWh;other tariffs for older cars
Horsham Supercharger,-36.71591547781505,142.19650194656884,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Clare Valley Supercharger [Tesla],-33.8485,138.618157,,Public - Membership Required,$0.52/kWh
Adelaide Supercharger,-34.927555,138.595225,South Australia,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Keith Supercharger,-36.099082,140.355645,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Brisbane-Fortitude Valley,-27.451699,153.040473,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Bunnings Homebase Subiaco,-31.942718738540442,115.8213074905982,Western Australia,Public - Membership Required,See chargefox app for current rates.
Cooma Supercharger,-36.235522,149.126794,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Goulburn Supercharger [Tesla],-34.755597,149.720984,,Public - Membership Required,$0.52/kWh
Ballarat Supercharger,-37.534601,143.822503,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Gundagai Supercharger [Tesla],-35.002106,148.109934,,Public - Membership Required,$0.52/kWh
Heatherbrae Supercharger [Tesla],-32.787812,151.727704,,Public - Membership Required,$0.52/kWh
Wodonga Supercharger,-36.12386,146.889963,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Port Macquarie Supercharger [Tesla],-31.4361,152.823582,New South Wales,Public - Membership Required,AUD 0.52/kWh
Knockrow Supercharger,-28.749539,153.534722,,Public - Membership Required,AUD 0.42/kWh;other tariffs for older cars
Carnarvon Seachange Apartments,-24.8837684687111,113.655171378484,Western Australia,"Private - For Staff, Visitors or Customers",Contact owner 
Success Center ,-32.130421,115.853806,Western Australia,Public - Membership Required,Free
Feathertop Winery,-36.6758307,146.8883634,Victoria,"Private - For Staff, Visitors or Customers",Free
Ballina Day Surgery,-28.8707201,153.5632833,New South Wales,"Private - For Staff, Visitors or Customers",Cost information not available
Crooked Carrot Cafe,-33.0212628,115.7344491,,"Private - For Staff, Visitors or Customers",Free
Cockburn Gateway Shopping City,-32.1311632744087,115.85675239563,Western Australia,Public - Membership Required,$0.45 per kWh
Psaros Depot,-31.9465882,115.8684012,,(Unknown),Free
Stockland baldivis ,-32.332038197451894,115.81543780164884,,Public - Membership Required,Free
RAC Electric Highway Donnybrook,-33.574681033694176,115.82452538723692,WA‎,(Unknown),Free
RAC Electric Highway Harvey,-33.079053,115.896327,WA‎,Public - Membership Required,Free
Dunsborough RAC Electric Highway,-33.616195,115.107246,Western Australia,Public - Membership Required,$0.45 per kWh
Nannup Fast Charger,-33.979816,115.763459,WA‎,Public,Free
Margaret River RAC Electric Highway,-33.95358142418849,115.070896629059,Western Australia,Public - Membership Required,45c/kwh + 30c
Augusta Car Park RAC Electric Highway,-34.315148,115.158737,WA‎,Public - Membership Required,See operators website
CBH Group,-31.483285,118.249168,Western Australia,Privately Owned - Notice Required,Free
Southern Cross Oval,-31.2292014414001,119.328518825795,Western Australia,Public - Notice Required,Free
Norseman Oval,-32.19640258752865,121.77616249834006,Western Australia,Public - Pay At Location,$35
Balladonia Hotel Motel,-32.351950707003716,123.61710184080994,Western Australia,Public,$1/kWh
Border Village,-31.638741120034034,129.00329404080298,South Australia,Public - Pay At Location,Free
